==== Training 784x10x10x10 ANN ======
Epoch 5: 8691 / 10000
Epoch 6: 8820 / 10000
Epoch 7: 8894 / 10000
Epoch 8: 8965 / 10000
Epoch 9: 9007 / 10000
Epoch 10: 9038 / 10000
Epoch 11: 9057 / 10000
Epoch 12: 9091 / 10000
Epoch 13: 9094 / 10000
Epoch 14: 9118 / 10000
Epoch 15: 9135 / 10000
Epoch 16: 9155 / 10000
Epoch 17: 9166 / 10000
Epoch 18: 9179 / 10000
Epoch 19: 9194 / 10000
Epoch 20: 9191 / 10000
Epoch 21: 9210 / 10000
Epoch 22: 9225 / 10000
Epoch 23: 9225 / 10000
Epoch 24: 9218 / 10000
Epoch 25: 9225 / 10000
Epoch 26: 9223 / 10000
Epoch 27: 9232 / 10000
Epoch 28: 9254 / 10000
Epoch 29: 9248 / 10000
Epoch 30: 9258 / 10000
Epoch 31: 9252 / 10000
Epoch 32: 9267 / 10000
Epoch 33: 9256 / 10000
Epoch 34: 9270 / 10000
Epoch 35: 9276 / 10000
Epoch 36: 9263 / 10000
Epoch 37: 9287 / 10000
Epoch 38: 9268 / 10000
Epoch 39: 9265 / 10000
Epoch 40: 9272 / 10000
Epoch 41: 9274 / 10000
Epoch 42: 9271 / 10000
Epoch 43: 9287 / 10000
Epoch 44: 9272 / 10000
Epoch 45: 9282 / 10000
Epoch 46: 9267 / 10000
Epoch 47: 9280 / 10000
Epoch 48: 9294 / 10000
Epoch 49: 9299 / 10000
==== Training 784x40x10x10 ANN DONE... ======
==== Training 784x40x20x10 ANN ======
Epoch 0: 7630 / 10000
Epoch 1: 8448 / 10000
Epoch 2: 8724 / 10000
Epoch 3: 8843 / 10000
Epoch 4: 8957 / 10000
Epoch 5: 9021 / 10000
Epoch 6: 9064 / 10000
Epoch 7: 9112 / 10000
Epoch 8: 9141 / 10000
Epoch 9: 9162 / 10000
Epoch 10: 9197 / 10000
Epoch 11: 9232 / 10000
Epoch 12: 9271 / 10000
Epoch 13: 9265 / 10000
Epoch 14: 9286 / 10000
Epoch 15: 9291 / 10000
Epoch 16: 9317 / 10000
Epoch 17: 9320 / 10000
Epoch 18: 9335 / 10000
Epoch 19: 9337 / 10000
Epoch 20: 9336 / 10000
Epoch 21: 9350 / 10000
Epoch 22: 9351 / 10000
Epoch 23: 9382 / 10000
Epoch 24: 9376 / 10000
